server,n,c,min,mean,stddev,median,max
poolserver,100,1,0,0,0.1,0,1
poolserver,100,10,0,1,0.2,1,2
poolserver,100,100,4,14,1.1,14,15
poolserver,500,1,0,0,0.0,0,0
poolserver,500,10,0,0,0.0,0,1
poolserver,500,100,3,4,0.4,4,5
poolserver,500,500,16,17,1.3,17,25
poolserver,1000,1,0,0,0.0,0,1
poolserver,1000,10,0,0,0.0,0,1
poolserver,1000,100,2,5,0.5,5,6
poolserver,1000,500,12,22,4.2,23,29
poolserver,2000,1,0,0,0.0,0,0
poolserver,2000,10,0,0,0.0,0,1
poolserver,2000,100,2,5,0.4,5,6
poolserver,2000,500,14,23,2.7,24,43
